"","country","1/22/20","1/23/20","1/24/20","1/25/20","1/26/20","1/27/20","1/28/20","1/29/20","1/30/20","1/31/20","2/1/20","2/2/20","2/3/20","2/4/20","2/5/20","2/6/20","2/7/20","2/8/20","2/9/20","2/10/20","2/11/20","2/12/20","2/13/20","2/14/20","2/15/20","2/16/20","2/17/20","2/18/20","2/19/20","2/20/20","2/21/20","2/22/20","2/23/20","2/24/20","2/25/20","2/26/20","2/27/20","2/28/20","2/29/20","3/1/20","3/2/20"
"44","Mexico",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,-2,-1
"45","Monaco",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0
"46","Morocco",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"47","Nepal",0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48","Netherlands",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,5,-1,4
"49","New Zealand",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0
"50","Nigeria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0
"51","North Macedonia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0
"52","Norway",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,5,4,-5,2
"53","Oman",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-2,2,-2,0,2,-2,0
"54","Others",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,-61,3,68,-71,40,-40,43,24,3,29,-11,-9,-66,-13,0,57,-57,0,14,-14,0,0,0,0
"55","Pakistan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-2,0,2,-2,0
"56","Philippines",0,0,0,0,0,0,0,0,1,-1,0,1,-1,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"57","Portugal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"58","Qatar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-2
"59","Romania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,2,-2,0,0
"60","Russia",0,0,0,0,0,0,0,0,0,2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"61","San Marino",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,7
"62","Saudi Arabia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"63","Senegal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"64","Singapore",0,1,3,3,-2,0,1,-2,3,0,0,-1,-2,6,-2,-4,2,1,4,-2,-3,1,5,1,-4,-2,-1,2,-1,-3,1,-1,4,-4,2,0,-2,0,9,-5,-2
"65","South Korea",1,1,2,2,-1,0,-1,0,0,7,-6,2,-3,1,2,1,-3,-1,1,1,-1,-1,0,0,0,1,0,0,-1,73,27,129,-60,62,-87,140,221,66,242,-227,13
"66","Spain",0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,-5,15,-4,26,-3
"67","Sri Lanka",0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"68","Sweden",0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,-5,5,-3,-1
"69","Switzerland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,7,-7,10,-1,6
"70","Taiwan",1,1,3,3,-2,0,2,-3,1,0,-1,0,0,1,-1,5,-5,1,0,-1,0,0,0,0,0,2,0,-2,1,0,1,-2,2,0,-1,0,-1,2,3,-4,0
"71","Thailand",2,3,5,7,-6,-1,6,-6,0,5,-5,0,0,6,-6,0,0,7,-7,0,1,-1,0,0,0,1,0,-1,0,0,0,0,0,0,2,1,-3,1,0,-1,1
"72","United Kingdom",0,0,0,0,0,0,0,0,0,2,-2,0,0,0,0,0,1,-1,0,5,-5,1,-1,0,0,0,0,0,0,0,0,0,0,4,-4,0,2,3,-2,10,-9
"73","United Arab Emirates",0,0,0,0,0,0,0,4,-4,0,0,1,-1,0,0,0,0,2,-2,1,-1,0,0,0,0,1,-1,0,0,0,0,4,-4,0,0,0,0,6,-4,-2,0
"74","United States",1,1,2,2,1,-3,0,0,0,2,-1,-1,3,-3,1,-1,0,0,0,0,1,-1,2,-2,0,0,0,0,0,0,20,-20,0,18,-18,6,-5,1,6,-2,19
"75","Vietnam",0,2,2,2,-2,0,0,0,0,0,4,-4,2,-2,0,2,-2,3,-3,1,0,-1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
